49604,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,10
19450,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,13
55670,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,14
29283,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,20
58880,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,22
44470,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,26
9436,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,28
52459,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,30
65506,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,35
8212,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,40
54932,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,13
26512,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,14
35269,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,43
49778,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,47
42957,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,28
30922,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,30
39792,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,49
27459,/home/yaohui.c/work/sefuzzcoordinator/testcases/case-switch,switch.c,53
